ImagePatchWidth ImagePatchStep trainBatchNum trainBatchSize label_mutiplier hidden_units trainSteps optimizer learning_rate label_mode clip_gradients dropout slope intercept r_value p_value std_err accuracy_total accuracy_neg accuracy_pos accuracy_distance 
(40, 1, 12000, 2000, 1.0, [50, 100, 50], 200, 'SGD', 0.1, 'NUM', 5.0, None, 1, None, 0, True) 0.287821 149.631528 0.710131 0.000000 0.025942 0.000000 0.000000 0.000000 0.128513
(40, 1, 12000, 2000, 100.0, [50, 100, 50], 200, 'SGD', 0.1, 'NUM', 5.0, None, 1, None, 0, True) -5.877955 19165.584655 -0.290749 0.001105 1.758478 0.000000 0.000000 0.000000 16.800509
(40, 1, 12000, 2000, 1.0, [50, 100, 50], 200, 'SGD', 0.1, 'NUM', 5.0, None, 1, 0.2, 0, True) 0.680333 111.076372 0.905258 0.000000 0.029027 0.000000 0.000000 0.000000 0.095114
(40, 1, 12000, 2000, 100.0, [50, 100, 50], 200, 'SGD', 0.1, 'NUM', 5.0, None, 1, 0.2, 0, True) -5.877955 19165.584645 -0.290749 0.001105 1.758478 0.000000 0.000000 0.000000 16.800509
(40, 1, 12000, 2000, 1.0, [50, 100, 50], 200, 'SGD', 0.1, 'NUM', 5.0, None, 1, 0.5, 0, True) -0.060486 197.216615 -0.290753 0.001105 0.018095 0.000000 0.000000 0.000000 0.171608
(40, 1, 12000, 2000, 100.0, [50, 100, 50], 200, 'SGD', 0.1, 'NUM', 5.0, None, 1, 0.5, 0, True) -5.877955 19165.584652 -0.290749 0.001105 1.758478 0.000000 0.000000 0.000000 16.800509
(40, 1, 12000, 2000, 1.0, [50, 100, 50], 200, 'Adam', 0.1, 'NUM', 5.0, None, 1, None, 0, True) -0.059138 192.823027 -0.290749 0.001105 0.017692 0.000000 0.000000 0.000000 0.168761
(40, 1, 12000, 2000, 100.0, [50, 100, 50], 200, 'Adam', 0.1, 'NUM', 5.0, None, 1, None, 0, True) -5.990928 19533.942671 -0.290749 0.001105 1.792275 0.000000 0.000000 0.000000 17.039115
(40, 1, 12000, 2000, 1.0, [50, 100, 50], 200, 'Adam', 0.1, 'NUM', 5.0, None, 1, 0.2, 0, True) -0.059138 192.823027 -0.290749 0.001105 0.017692 0.000000 0.000000 0.000000 0.168761
(40, 1, 12000, 2000, 100.0, [50, 100, 50], 200, 'Adam', 0.1, 'NUM', 5.0, None, 1, 0.2, 0, True) -5.990928 19533.942671 -0.290749 0.001105 1.792275 0.000000 0.000000 0.000000 17.039115
(40, 1, 12000, 2000, 1.0, [50, 100, 50], 200, 'Adam', 0.1, 'NUM', 5.0, None, 1, 0.5, 0, True) -0.059138 192.823027 -0.290749 0.001105 0.017692 0.000000 0.000000 0.000000 0.168761
(40, 1, 12000, 2000, 100.0, [50, 100, 50], 200, 'Adam', 0.1, 'NUM', 5.0, None, 1, 0.5, 0, True) -5.990928 19533.942671 -0.290749 0.001105 1.792275 0.000000 0.000000 0.000000 17.039115
(40, 1, 12000, 2000, 1.0, [50, 100, 50], 200, 'Adagrad', 0.1, 'NUM', 5.0, None, 1, None, 0, True) 0.785670 50.431818 0.953843 0.000000 0.022487 0.000000 0.000000 0.000000 0.056823
(40, 1, 12000, 2000, 100.0, [50, 100, 50], 200, 'Adagrad', 0.1, 'NUM', 5.0, None, 1, None, 0, True) -6.029016 19658.138984 -0.290749 0.001105 1.803670 0.000000 0.000000 0.000000 17.119617
(40, 1, 12000, 2000, 1.0, [50, 100, 50], 200, 'Adagrad', 0.1, 'NUM', 5.0, None, 1, 0.2, 0, True) -0.017666 397.016804 -0.008866 0.922467 0.181137 0.000000 0.000000 0.000000 0.294488
(40, 1, 12000, 2000, 100.0, [50, 100, 50], 200, 'Adagrad', 0.1, 'NUM', 5.0, None, 1, 0.2, 0, True) -5.712446 18625.930198 -0.290749 0.001105 1.708964 0.000000 0.000000 0.000000 16.451416
(40, 1, 12000, 2000, 1.0, [50, 100, 50], 200, 'Adagrad', 0.1, 'NUM', 5.0, None, 1, 0.5, 0, True) -0.062537 203.907973 -0.290749 0.001105 0.018709 0.000000 0.000000 0.000000 0.175951
(40, 1, 12000, 2000, 100.0, [50, 100, 50], 200, 'Adagrad', 0.1, 'NUM', 5.0, None, 1, 0.5, 0, True) -5.866115 19126.979782 -0.290749 0.001105 1.754936 0.000000 0.000000 0.000000 16.775517
(40, 1, 12000, 2000, 1.0, [500, 1000, 500], 200, 'SGD', 0.1, 'NUM', 5.0, None, 1, None, 0, True) 0.831173 35.168348 0.979840 0.000000 0.015407 0.000006 0.000006 0.000000 0.045578
(40, 1, 12000, 2000, 100.0, [500, 1000, 500], 200, 'SGD', 0.1, 'NUM', 5.0, None, 1, None, 0, True) -5.884340 19167.290592 -0.290984 0.001094 1.758833 0.000000 0.000000 0.000000 16.801523
(40, 1, 12000, 2000, 1.0, [500, 1000, 500], 200, 'SGD', 0.1, 'NUM', 5.0, None, 1, 0.2, 0, True) 0.832815 38.369298 0.968435 0.000000 0.019487 0.000000 0.000000 0.000000 0.044458
(40, 1, 12000, 2000, 100.0, [500, 1000, 500], 200, 'SGD', 0.1, 'NUM', 5.0, None, 1, 0.2, 0, True) -5.838276 19166.986704 -0.288971 0.001189 1.758340 0.000000 0.000000 0.000000 16.800143
(40, 1, 12000, 2000, 1.0, [500, 1000, 500], 200, 'SGD', 0.1, 'NUM', 5.0, None, 1, 0.5, 0, True) 0.273314 53.056125 0.896696 0.000000 0.012265 0.000000 0.000000 0.000000 0.066893
(40, 1, 12000, 2000, 100.0, [500, 1000, 500], 200, 'SGD', 0.1, 'NUM', 5.0, None, 1, 0.5, 0, True) -5.877955 19165.584652 -0.290749 0.001105 1.758478 0.000000 0.000000 0.000000 16.800509
(40, 1, 12000, 2000, 1.0, [500, 1000, 500], 200, 'Adam', 0.1, 'NUM', 5.0, None, 1, None, 0, True) -0.059138 192.823027 -0.290749 0.001105 0.017692 0.000000 0.000000 0.000000 0.168761
(40, 1, 12000, 2000, 100.0, [500, 1000, 500], 200, 'Adam', 0.1, 'NUM', 5.0, None, 1, None, 0, True) -5.990928 19533.942671 -0.290749 0.001105 1.792275 0.000000 0.000000 0.000000 17.039115
(40, 1, 12000, 2000, 1.0, [500, 1000, 500], 200, 'Adam', 0.1, 'NUM', 5.0, None, 1, 0.2, 0, True) -0.059138 192.823027 -0.290749 0.001105 0.017692 0.000000 0.000000 0.000000 0.168761
(40, 1, 12000, 2000, 100.0, [500, 1000, 500], 200, 'Adam', 0.1, 'NUM', 5.0, None, 1, 0.2, 0, True) -5.990928 19533.942671 -0.290749 0.001105 1.792275 0.000000 0.000000 0.000000 17.039115
(40, 1, 12000, 2000, 1.0, [500, 1000, 500], 200, 'Adam', 0.1, 'NUM', 5.0, None, 1, 0.5, 0, True) -0.059138 192.823027 -0.290749 0.001105 0.017692 0.000000 0.000000 0.000000 0.168761
(40, 1, 12000, 2000, 100.0, [500, 1000, 500], 200, 'Adam', 0.1, 'NUM', 5.0, None, 1, 0.5, 0, True) -5.990928 19533.942671 -0.290749 0.001105 1.792275 0.000000 0.000000 0.000000 17.039115
(40, 1, 12000, 2000, 1.0, [500, 1000, 500], 200, 'Adagrad', 0.1, 'NUM', 5.0, None, 1, None, 0, True) 0.806185 39.904303 0.970953 0.000000 0.018061 0.000000 0.000000 0.000000 0.048233
(40, 1, 12000, 2000, 100.0, [500, 1000, 500], 200, 'Adagrad', 0.1, 'NUM', 5.0, None, 1, None, 0, True) 80.799427 3900.980794 0.963969 0.000000 2.027005 0.000000 0.000000 0.000000 5.311027
